-0.094982064,-0.01081155,0.034423953,0.07,0
-0.094982064,-0.01081155,0.034423953,0.07,0.00077469
-0.094985235,-0.010811391,0.034430622,0.070013557,0.000486061
-0.094991386,-0.010811292,0.034434809,0.070022063,0.000333028
-0.094999134,-0.010811226,0.03443768,0.070027891,0.000248259
-0.09500773,-0.010811177,0.034439821,0.070032236,0.000199081
-0.095016754,-0.01081114,0.03444154,0.07003572,0.000168901
-0.095025959,-0.010811109,0.034443,0.070038675,0.000149103
-0.095035197,-0.010811082,0.03444429,0.070041285,0.000135145
-0.095044375,-0.010811058,0.034445461,0.07004365,0.000124596
-0.095053431,-0.010811037,0.03444654,0.07004583,0.000116136
-0.095062323,-0.010811018,0.034447548,0.070047862,0.000109032
-0.095071023,-0.010811,0.034448494,0.070049771,0.000102866
-0.095079511,-0.010810984,0.034449388,0.070051571,9.74E-05
-0.095087774,-0.010810969,0.034450235,0.070053275,9.25E-05
-0.095095802,-0.010810956,0.03445104,0.070054893,8.80E-05
-0.095103589,-0.010810943,0.034451806,0.070056433,8.39E-05
-0.095111135,-0.010810932,0.034452537,0.070057901,8.01E-05
-0.095118437,-0.010810921,0.034453236,0.070059302,7.66E-05
-0.095125498,-0.010810912,0.034453905,0.070060643,7.34E-05
-0.09513232,-0.010810903,0.034454547,0.070061926,7.04E-05
-0.095138907,-0.010810895,0.034455163,0.070063158,6.76E-05
-0.095145264,-0.010810887,0.034455755,0.07006434,6.50E-05
-0.095151398,-0.01081088,0.034456324,0.070065477,6.25E-05
-0.095157313,-0.010810874,0.034456874,0.070066572,6.03E-05
-0.095163016,-0.010810869,0.034457403,0.070067626,5.82E-05
-0.095168514,-0.010810864,0.034457915,0.070068644,5.62E-05
-0.095173815,-0.010810859,0.03445841,0.070069627,5.43E-05
-0.095178925,-0.010810855,0.034458889,0.070070578,5.26E-05
-0.095183851,-0.010810852,0.034459353,0.070071498,5.09E-05
-0.0951886,-0.010810848,0.034459803,0.070072389,4.94E-05
-0.095193179,-0.010810846,0.03446024,0.070073253,4.79E-05
-0.095197596,-0.010810843,0.034460665,0.070074091,4.65E-05
-0.095201857,-0.010810841,0.034461077,0.070074906,4.53E-05
-0.095205969,-0.01081084,0.034461479,0.070075698,4.40E-05
-0.095209937,-0.010810838,0.034461871,0.070076468,4.29E-05
