-0.0949821,-0.0108116,0.034424,0.07,0
-0.0949821,-0.0108116,0.034424,0.07,0.000593417
-0.0949845,-0.0108114,0.0344291,0.0700104,0.000421205
-0.0949894,-0.0108113,0.0344327,0.0700178,0.000320026
-0.0949959,-0.0108113,0.0344354,0.0700234,0.000253906
-0.0950033,-0.0108112,0.0344376,0.0700278,0.000209509
-0.0950113,-0.0108112,0.0344394,0.0700315,0.000178881
-0.0950197,-0.0108112,0.034441,0.0700346,0.000157063
-0.0950282,-0.0108111,0.0344423,0.0700373,0.00014095
-0.0950367,-0.0108111,0.0344436,0.0700398,0.000128587
-0.0950453,-0.0108111,0.0344447,0.0700421,0.000118742
-0.0950537,-0.0108111,0.0344457,0.0700441,0.000110629
-0.095062,-0.010811,0.0344467,0.0700461,0.000103746
-0.0950701,-0.010811,0.0344476,0.0700479,9.78E-05
-0.095078,-0.010811,0.0344484,0.0700496,9.25E-05
-0.0950858,-0.010811,0.0344492,0.0700512,8.77E-05
-0.0950933,-0.010811,0.03445,0.0700528,8.34E-05
-0.0951006,-0.010811,0.0344507,0.0700542,7.95E-05
-0.0951077,-0.010811,0.0344514,0.0700556,7.59E-05
-0.0951145,-0.0108109,0.0344521,0.0700569,7.25E-05
-0.0951211,-0.0108109,0.0344527,0.0700582,6.94E-05
-0.0951275,-0.0108109,0.0344533,0.0700594,6.66E-05
-0.0951337,-0.0108109,0.0344539,0.0700606,6.39E-05
-0.0951397,-0.0108109,0.0344545,0.0700617,6.14E-05
-0.0951455,-0.0108109,0.034455,0.0700628,5.91E-05
-0.095151,-0.0108109,0.0344555,0.0700638,5.69E-05
-0.0951564,-0.0108109,0.034456,0.0700648,5.49E-05
-0.0951616,-0.0108109,0.0344565,0.0700658,5.30E-05
-0.0951666,-0.0108109,0.034457,0.0700667,5.12E-05
-0.0951714,-0.0108109,0.0344574,0.0700676,4.95E-05
-0.095176,-0.0108109,0.0344579,0.0700685,4.79E-05
-0.0951805,-0.0108109,0.0344583,0.0700693,4.64E-05
-0.0951848,-0.0108109,0.0344587,0.0700701,4.50E-05
-0.0951889,-0.0108109,0.0344591,0.0700709,4.37E-05
-0.0951929,-0.0108109,0.0344595,0.0700717,4.25E-05
-0.0951968,-0.0108109,0.0344599,0.0700724,4.13E-05
-0.0952005,-0.0108109,0.0344602,0.0700731,4.02E-05
-0.0952041,-0.0108109,0.0344606,0.0700738,3.91E-05
-0.0952076,-0.0108109,0.0344609,0.0700745,3.81E-05
-0.095211,-0.0108109,0.0344613,0.0700752,3.72E-05
-0.0952142,-0.0108109,0.0344616,0.0700758,3.63E-05
-0.0952174,-0.0108109,0.0344619,0.0700765,3.54E-05
-0.0952204,-0.0108109,0.0344622,0.0700771,3.46E-05
-0.0952233,-0.0108109,0.0344626,0.0700777,3.38E-05
-0.0952262,-0.0108109,0.0344629,0.0700783,3.31E-05
-0.0952289,-0.0108109,0.0344632,0.0700789,3.24E-05
-0.0952316,-0.0108109,0.0344634,0.0700794,3.17E-05
-0.0952342,-0.0108109,0.0344637,0.07008,3.11E-05
