0,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
0.005,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9986
0.01,-79.9984,-79.9977,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9975,-79.9976
0.015,-79.9984,-79.9972,-79.9968,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9969
0.02,-79.9984,-79.9968,-79.9963,-79.9961,-79.9961,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.9961,-79.9961,-79.9962
0.025,-79.9984,-79.9966,-79.9959,-79.9956,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9955,-79.9956,-79.9957
0.03,-79.9984,-79.9964,-79.9956,-79.9952,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9951,-79.9952,-79.9953
0.035,-79.9984,-79.9962,-79.9953,-79.9949,-79.9948,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9948,-79.9949
0.04,-79.9984,-79.9961,-79.995,-79.9946,-79.9944,-79.9944,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9943,-79.9944,-79.9944,-79.9945
0.045,-79.9984,-79.9959,-79.9948,-79.9943,-79.9941,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.994,-79.9941,-79.9942
0.05,-79.9984,-79.9958,-79.9946,-79.9941,-79.9939,-79.9938,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9937,-79.9938,-79.9939
0.055,-79.9984,-79.9957,-79.9945,-79.9939,-79.9936,-79.9935,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9934,-79.9935,-79.9935,-79.9936
0.06,-79.9984,-79.9956,-79.9943,-79.9937,-79.9934,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9932,-79.9933,-79.9934
