0,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
0.005,-79.9985,-79.9988,-79.999,-79.9991,-79.9991,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9992,-79.9993,-79.9993
0.01,-79.9984,-79.9984,-79.9984,-79.9985,-79.9985,-79.9985,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9986,-79.9987,-79.9987
0.015,-79.9984,-79.9982,-79.9981,-79.9981,-79.9981,-79.998,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9981,-79.9982,-79.9982
0.02,-79.9984,-79.9981,-79.9979,-79.9978,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9977,-79.9978,-79.9978
0.025,-79.9984,-79.998,-79.9978,-79.9976,-79.9975,-79.9974,-79.9974,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9974,-79.9974,-79.9974,-79.9974
0.03,-79.9984,-79.998,-79.9977,-79.9975,-79.9973,-79.9972,-79.9971,-79.9971,-79.9971,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.9971,-79.9971,-79.9971,-79.9971
0.035,-79.9984,-79.9979,-79.9976,-79.9974,-79.9972,-79.997,-79.9969,-79.9969,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9967,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9969
0.04,-79.9984,-79.9979,-79.9975,-79.9973,-79.9971,-79.9969,-79.9968,-79.9967,-79.9967,-79.9966,-79.9966,-79.9966,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9965,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9967
0.045,-79.9984,-79.9979,-79.9975,-79.9972,-79.997,-79.9968,-79.9967,-79.9966,-79.9965,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9965
