0,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
0.005,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985,-79.9985
0.01,-79.9984,-79.998,-79.9978,-79.9977,-79.9977,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9976,-79.9977
0.015,-79.9984,-79.9978,-79.9974,-79.9972,-79.9971,-79.9971,-79.9971,-79.9971,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.997,-79.9971,-79.9971
0.02,-79.9984,-79.9976,-79.9972,-79.9969,-79.9968,-79.9967,-79.9967,-79.9967,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966,-79.9966
0.025,-79.9984,-79.9975,-79.997,-79.9967,-79.9965,-79.9964,-79.9964,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963,-79.9963
0.03,-79.9984,-79.9975,-79.9969,-79.9965,-79.9963,-79.9962,-79.9961,-79.9961,-79.9961,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.9961
0.035,-79.9984,-79.9974,-79.9968,-79.9964,-79.9962,-79.996,-79.9959,-79.9959,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958,-79.9958
0.04,-79.9984,-79.9974,-79.9967,-79.9963,-79.996,-79.9959,-79.9958,-79.9957,-79.9957,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956
0.045,-79.9984,-79.9973,-79.9966,-79.9962,-79.9959,-79.9957,-79.9956,-79.9955,-79.9955,-79.9955,-79.9955,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954,-79.9954
