0,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
0.005,-79.9985,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987,-79.9987
0.01,-79.9984,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979,-79.9979
0.015,-79.9984,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973,-79.9973
0.02,-79.9984,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968,-79.9968
0.025,-79.9984,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964,-79.9964
0.03,-79.9984,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.996,-79.9961
0.035,-79.9984,-79.9957,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9956,-79.9957
0.04,-79.9984,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9953,-79.9954
0.045,-79.9984,-79.9951,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.995,-79.9952
0.05,-79.9984,-79.9948,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9947,-79.9949
